task_id,row_id,family,solver,role,mode,source_status,attribution,reused_task,subject
v3__S1__linearized_gaussian__0__combined__center_fNIRS__O0,fit,S1,O0,,center_fNIRS,completed,completed,,
v3__S1__linearized_gaussian__0__combined__center_fNIRS__O1,fit,S1,O1,,center_fNIRS,completed,completed,,
v3__S1__linearized_gaussian__0__combined__center_fNIRS__O2,fit,S1,O2,,center_fNIRS,completed,completed,,
v3__S1__linearized_gaussian__0__combined__center_fNIRS__O2_pointwise,fit,S1,O2_pointwise,,center_fNIRS,completed,completed,,
v3__S1__linearized_gaussian__0__combined__center_fNIRS__O2_mean_only,fit,S1,O2_mean_only,,center_fNIRS,completed,completed,,
v3__S1__linearized_gaussian__0__combined__whole_EEG__O0,fit,S1,O0,,whole_EEG,completed,completed,,
v3__S1__linearized_gaussian__0__combined__whole_EEG__O1,fit,S1,O1,,whole_EEG,completed,completed,,
v3__S1__linearized_gaussian__0__combined__whole_EEG__O2,fit,S1,O2,,whole_EEG,completed,completed,,
v3__S1__linearized_gaussian__0__combined__whole_EEG__O2_pointwise,fit,S1,O2_pointwise,,whole_EEG,completed,completed,,
v3__S1__linearized_gaussian__0__combined__whole_EEG__O2_mean_only,fit,S1,O2_mean_only,,whole_EEG,completed,completed,,
v3__S1__linearized_gaussian__0__combined__whole_fNIRS__O0,fit,S1,O0,,whole_fNIRS,completed,completed,,
v3__S1__linearized_gaussian__0__combined__whole_fNIRS__O1,fit,S1,O1,,whole_fNIRS,completed,completed,,
v3__S1__linearized_gaussian__0__combined__whole_fNIRS__O2,fit,S1,O2,,whole_fNIRS,completed,completed,,
v3__S1__linearized_gaussian__0__combined__whole_fNIRS__O2_pointwise,fit,S1,O2_pointwise,,whole_fNIRS,completed,completed,,
v3__S1__linearized_gaussian__0__combined__whole_fNIRS__O2_mean_only,fit,S1,O2_mean_only,,whole_fNIRS,completed,completed,,
v3__S1__linearized_gaussian__1__model__full__O0,fit,S1,O0,,full,completed,completed,,
v3__S1__linearized_gaussian__1__model__full__O1,fit,S1,O1,,full,completed,completed,,
v3__S1__linearized_gaussian__1__model__full__O2,fit,S1,O2,,full,completed,completed,,
v3__S1__linearized_gaussian__1__model__full__O2_pointwise,fit,S1,O2_pointwise,,full,completed,completed,,
v3__S1__linearized_gaussian__1__model__full__O2_mean_only,fit,S1,O2_mean_only,,full,completed,completed,,
v3__S1__linearized_gaussian__1__model__center_EEG__O0,fit,S1,O0,,center_EEG,completed,completed,,
v3__S1__linearized_gaussian__1__model__center_EEG__O1,fit,S1,O1,,center_EEG,completed,completed,,
v3__S1__linearized_gaussian__1__model__center_EEG__O2,fit,S1,O2,,center_EEG,completed,completed,,
v3__S1__linearized_gaussian__1__model__center_EEG__O2_pointwise,fit,S1,O2_pointwise,,center_EEG,completed,completed,,
v3__S1__linearized_gaussian__1__model__center_EEG__O2_mean_only,fit,S1,O2_mean_only,,center_EEG,completed,completed,,
v3__S1__linearized_gaussian__1__model__center_fNIRS__O0,fit,S1,O0,,center_fNIRS,completed,completed,,
v3__S1__linearized_gaussian__1__model__center_fNIRS__O1,fit,S1,O1,,center_fNIRS,completed,completed,,
v3__S1__linearized_gaussian__1__model__center_fNIRS__O2,fit,S1,O2,,center_fNIRS,completed,completed,,
v3__S1__linearized_gaussian__1__model__center_fNIRS__O2_pointwise,fit,S1,O2_pointwise,,center_fNIRS,completed,completed,,
v3__S1__linearized_gaussian__1__model__center_fNIRS__O2_mean_only,fit,S1,O2_mean_only,,center_fNIRS,completed,completed,,
v3__S1__linearized_gaussian__1__model__whole_EEG__O0,fit,S1,O0,,whole_EEG,completed,completed,,
v3__S1__linearized_gaussian__1__model__whole_EEG__O1,fit,S1,O1,,whole_EEG,completed,completed,,
v3__S1__linearized_gaussian__1__model__whole_EEG__O2,fit,S1,O2,,whole_EEG,completed,completed,,
v3__S1__linearized_gaussian__1__model__whole_EEG__O2_pointwise,fit,S1,O2_pointwise,,whole_EEG,completed,completed,,
v3__S1__linearized_gaussian__1__model__whole_EEG__O2_mean_only,fit,S1,O2_mean_only,,whole_EEG,completed,completed,,
v3__S1__linearized_gaussian__1__model__whole_fNIRS__O0,fit,S1,O0,,whole_fNIRS,completed,completed,,
v3__S1__linearized_gaussian__1__model__whole_fNIRS__O1,fit,S1,O1,,whole_fNIRS,completed,completed,,
v3__S1__linearized_gaussian__1__model__whole_fNIRS__O2,fit,S1,O2,,whole_fNIRS,completed,completed,,
v3__S1__linearized_gaussian__1__model__whole_fNIRS__O2_pointwise,fit,S1,O2_pointwise,,whole_fNIRS,completed,completed,,
v3__S1__linearized_gaussian__1__model__whole_fNIRS__O2_mean_only,fit,S1,O2_mean_only,,whole_fNIRS,completed,completed,,
v3__S1__linearized_gaussian__1__combined__full__O0,fit,S1,O0,,full,completed,completed,,
v3__S1__linearized_gaussian__1__combined__full__O1,fit,S1,O1,,full,completed,completed,,
v3__S1__linearized_gaussian__1__combined__full__O2,fit,S1,O2,,full,completed,completed,,
v3__S1__linearized_gaussian__1__combined__full__O2_pointwise,fit,S1,O2_pointwise,,full,completed,completed,,
v3__S1__linearized_gaussian__1__combined__full__O2_mean_only,fit,S1,O2_mean_only,,full,completed,completed,,
v3__S1__linearized_gaussian__1__combined__center_EEG__O0,fit,S1,O0,,center_EEG,completed,completed,,
v3__S1__linearized_gaussian__1__combined__center_EEG__O1,fit,S1,O1,,center_EEG,completed,completed,,
v3__S1__linearized_gaussian__1__combined__center_EEG__O2,fit,S1,O2,,center_EEG,completed,completed,,
v3__S1__linearized_gaussian__1__combined__center_EEG__O2_pointwise,fit,S1,O2_pointwise,,center_EEG,completed,completed,,
v3__S1__linearized_gaussian__1__combined__center_EEG__O2_mean_only,fit,S1,O2_mean_only,,center_EEG,completed,completed,,
v3__S1__linearized_gaussian__1__combined__center_fNIRS__O0,fit,S1,O0,,center_fNIRS,completed,completed,,
v3__S1__linearized_gaussian__1__combined__center_fNIRS__O1,fit,S1,O1,,center_fNIRS,completed,completed,,
v3__S1__linearized_gaussian__1__combined__center_fNIRS__O2,fit,S1,O2,,center_fNIRS,completed,completed,,
v3__S1__linearized_gaussian__1__combined__center_fNIRS__O2_pointwise,fit,S1,O2_pointwise,,center_fNIRS,completed,completed,,
v3__S1__linearized_gaussian__1__combined__center_fNIRS__O2_mean_only,fit,S1,O2_mean_only,,center_fNIRS,completed,completed,,
v3__S1__linearized_gaussian__1__combined__whole_EEG__O0,fit,S1,O0,,whole_EEG,completed,completed,,
v3__S1__linearized_gaussian__1__combined__whole_EEG__O1,fit,S1,O1,,whole_EEG,completed,completed,,
v3__S1__linearized_gaussian__1__combined__whole_EEG__O2,fit,S1,O2,,whole_EEG,completed,completed,,
v3__S1__linearized_gaussian__1__combined__whole_EEG__O2_pointwise,fit,S1,O2_pointwise,,whole_EEG,completed,completed,,
v3__S1__linearized_gaussian__1__combined__whole_EEG__O2_mean_only,fit,S1,O2_mean_only,,whole_EEG,completed,completed,,
v3__S1__linearized_gaussian__1__combined__whole_fNIRS__O0,fit,S1,O0,,whole_fNIRS,completed,completed,,
v3__S1__linearized_gaussian__1__combined__whole_fNIRS__O1,fit,S1,O1,,whole_fNIRS,completed,completed,,
v3__S1__linearized_gaussian__1__combined__whole_fNIRS__O2,fit,S1,O2,,whole_fNIRS,completed,completed,,
v3__S1__linearized_gaussian__1__combined__whole_fNIRS__O2_pointwise,fit,S1,O2_pointwise,,whole_fNIRS,completed,completed,,
v3__S1__linearized_gaussian__1__combined__whole_fNIRS__O2_mean_only,fit,S1,O2_mean_only,,whole_fNIRS,completed,completed,,
v3__S1__linearized_gaussian__2__model__full__O0,fit,S1,O0,,full,completed,completed,,
v3__S1__linearized_gaussian__2__model__full__O1,fit,S1,O1,,full,completed,completed,,
v3__S1__linearized_gaussian__2__model__full__O2,fit,S1,O2,,full,completed,completed,,
v3__S1__linearized_gaussian__2__model__full__O2_pointwise,fit,S1,O2_pointwise,,full,completed,completed,,
v3__S1__linearized_gaussian__2__model__full__O2_mean_only,fit,S1,O2_mean_only,,full,completed,completed,,
v3__S1__linearized_gaussian__2__model__center_EEG__O0,fit,S1,O0,,center_EEG,completed,completed,,
v3__S1__linearized_gaussian__2__model__center_EEG__O1,fit,S1,O1,,center_EEG,completed,completed,,
v3__S1__linearized_gaussian__2__model__center_EEG__O2,fit,S1,O2,,center_EEG,completed,completed,,
v3__S1__linearized_gaussian__2__model__center_EEG__O2_pointwise,fit,S1,O2_pointwise,,center_EEG,completed,completed,,
v3__S1__linearized_gaussian__2__model__center_EEG__O2_mean_only,fit,S1,O2_mean_only,,center_EEG,completed,completed,,
v3__S1__linearized_gaussian__2__model__center_fNIRS__O0,fit,S1,O0,,center_fNIRS,completed,completed,,
v3__S1__linearized_gaussian__2__model__center_fNIRS__O1,fit,S1,O1,,center_fNIRS,completed,completed,,
v3__S1__linearized_gaussian__2__model__center_fNIRS__O2,fit,S1,O2,,center_fNIRS,completed,completed,,
v3__S1__linearized_gaussian__2__model__center_fNIRS__O2_pointwise,fit,S1,O2_pointwise,,center_fNIRS,completed,completed,,
v3__S1__linearized_gaussian__2__model__center_fNIRS__O2_mean_only,fit,S1,O2_mean_only,,center_fNIRS,completed,completed,,
v3__S1__linearized_gaussian__2__model__whole_EEG__O0,fit,S1,O0,,whole_EEG,completed,completed,,
v3__S1__linearized_gaussian__2__model__whole_EEG__O1,fit,S1,O1,,whole_EEG,completed,completed,,
v3__S1__linearized_gaussian__2__model__whole_EEG__O2,fit,S1,O2,,whole_EEG,completed,completed,,
v3__S1__linearized_gaussian__2__model__whole_EEG__O2_pointwise,fit,S1,O2_pointwise,,whole_EEG,completed,completed,,
v3__S1__linearized_gaussian__2__model__whole_EEG__O2_mean_only,fit,S1,O2_mean_only,,whole_EEG,completed,completed,,
v3__S1__linearized_gaussian__2__model__whole_fNIRS__O0,fit,S1,O0,,whole_fNIRS,completed,completed,,
v3__S1__linearized_gaussian__2__model__whole_fNIRS__O1,fit,S1,O1,,whole_fNIRS,completed,completed,,
v3__S1__linearized_gaussian__2__model__whole_fNIRS__O2,fit,S1,O2,,whole_fNIRS,completed,completed,,
v3__S1__linearized_gaussian__2__model__whole_fNIRS__O2_pointwise,fit,S1,O2_pointwise,,whole_fNIRS,completed,completed,,
v3__S1__linearized_gaussian__2__model__whole_fNIRS__O2_mean_only,fit,S1,O2_mean_only,,whole_fNIRS,completed,completed,,
v3__S1__linearized_gaussian__2__combined__full__O0,fit,S1,O0,,full,completed,completed,,
v3__S1__linearized_gaussian__2__combined__full__O1,fit,S1,O1,,full,completed,completed,,
v3__S1__linearized_gaussian__2__combined__full__O2,fit,S1,O2,,full,completed,completed,,
v3__S1__linearized_gaussian__2__combined__full__O2_pointwise,fit,S1,O2_pointwise,,full,completed,completed,,
v3__S1__linearized_gaussian__2__combined__full__O2_mean_only,fit,S1,O2_mean_only,,full,completed,completed,,
v3__S1__linearized_gaussian__2__combined__center_EEG__O0,fit,S1,O0,,center_EEG,completed,completed,,
v3__S1__linearized_gaussian__2__combined__center_EEG__O1,fit,S1,O1,,center_EEG,completed,completed,,
v3__S1__linearized_gaussian__2__combined__center_EEG__O2,fit,S1,O2,,center_EEG,completed,completed,,
v3__S1__linearized_gaussian__2__combined__center_EEG__O2_pointwise,fit,S1,O2_pointwise,,center_EEG,completed,completed,,
v3__S1__linearized_gaussian__2__combined__center_EEG__O2_mean_only,fit,S1,O2_mean_only,,center_EEG,completed,completed,,
v3__S1__linearized_gaussian__2__combined__center_fNIRS__O0,fit,S1,O0,,center_fNIRS,completed,completed,,
v3__S1__linearized_gaussian__2__combined__center_fNIRS__O1,fit,S1,O1,,center_fNIRS,completed,completed,,
v3__S1__linearized_gaussian__2__combined__center_fNIRS__O2,fit,S1,O2,,center_fNIRS,completed,completed,,
v3__S1__linearized_gaussian__2__combined__center_fNIRS__O2_pointwise,fit,S1,O2_pointwise,,center_fNIRS,completed,completed,,
v3__S1__linearized_gaussian__2__combined__center_fNIRS__O2_mean_only,fit,S1,O2_mean_only,,center_fNIRS,completed,completed,,
v3__S1__linearized_gaussian__2__combined__whole_EEG__O0,fit,S1,O0,,whole_EEG,completed,completed,,
v3__S1__linearized_gaussian__2__combined__whole_EEG__O1,fit,S1,O1,,whole_EEG,completed,completed,,
v3__S1__linearized_gaussian__2__combined__whole_EEG__O2,fit,S1,O2,,whole_EEG,completed,completed,,
v3__S1__linearized_gaussian__2__combined__whole_EEG__O2_pointwise,fit,S1,O2_pointwise,,whole_EEG,completed,completed,,
v3__S1__linearized_gaussian__2__combined__whole_EEG__O2_mean_only,fit,S1,O2_mean_only,,whole_EEG,completed,completed,,
v3__S1__linearized_gaussian__2__combined__whole_fNIRS__O0,fit,S1,O0,,whole_fNIRS,completed,completed,,
v3__S1__linearized_gaussian__2__combined__whole_fNIRS__O1,fit,S1,O1,,whole_fNIRS,completed,completed,,
v3__S1__linearized_gaussian__2__combined__whole_fNIRS__O2,fit,S1,O2,,whole_fNIRS,completed,completed,,
v3__S1__linearized_gaussian__2__combined__whole_fNIRS__O2_pointwise,fit,S1,O2_pointwise,,whole_fNIRS,completed,completed,,
v3__S1__linearized_gaussian__2__combined__whole_fNIRS__O2_mean_only,fit,S1,O2_mean_only,,whole_fNIRS,completed,completed,,
v3__S1__linearized_gaussian__3__model__full__O0,fit,S1,O0,,full,completed,completed,,
v3__S1__linearized_gaussian__3__model__full__O1,fit,S1,O1,,full,completed,completed,,
v3__S1__linearized_gaussian__3__model__full__O2,fit,S1,O2,,full,completed,completed,,
v3__S1__linearized_gaussian__3__model__full__O2_pointwise,fit,S1,O2_pointwise,,full,completed,completed,,
v3__S1__linearized_gaussian__3__model__full__O2_mean_only,fit,S1,O2_mean_only,,full,completed,completed,,
v3__S1__linearized_gaussian__3__model__center_EEG__O0,fit,S1,O0,,center_EEG,completed,completed,,
v3__S1__linearized_gaussian__3__model__center_EEG__O1,fit,S1,O1,,center_EEG,completed,completed,,
v3__S1__linearized_gaussian__3__model__center_EEG__O2,fit,S1,O2,,center_EEG,completed,completed,,
v3__S1__linearized_gaussian__3__model__center_EEG__O2_pointwise,fit,S1,O2_pointwise,,center_EEG,completed,completed,,
v3__S1__linearized_gaussian__3__model__center_EEG__O2_mean_only,fit,S1,O2_mean_only,,center_EEG,completed,completed,,
v3__S1__linearized_gaussian__3__model__center_fNIRS__O0,fit,S1,O0,,center_fNIRS,completed,completed,,
v3__S1__linearized_gaussian__3__model__center_fNIRS__O1,fit,S1,O1,,center_fNIRS,completed,completed,,
v3__S1__linearized_gaussian__3__model__center_fNIRS__O2,fit,S1,O2,,center_fNIRS,completed,completed,,
v3__S1__linearized_gaussian__3__model__center_fNIRS__O2_pointwise,fit,S1,O2_pointwise,,center_fNIRS,completed,completed,,
v3__S1__linearized_gaussian__3__model__center_fNIRS__O2_mean_only,fit,S1,O2_mean_only,,center_fNIRS,completed,completed,,
v3__S1__linearized_gaussian__3__model__whole_EEG__O0,fit,S1,O0,,whole_EEG,completed,completed,,
v3__S1__linearized_gaussian__3__model__whole_EEG__O1,fit,S1,O1,,whole_EEG,completed,completed,,
v3__S1__linearized_gaussian__3__model__whole_EEG__O2,fit,S1,O2,,whole_EEG,completed,completed,,
v3__S1__linearized_gaussian__3__model__whole_EEG__O2_pointwise,fit,S1,O2_pointwise,,whole_EEG,completed,completed,,
v3__S1__linearized_gaussian__3__model__whole_EEG__O2_mean_only,fit,S1,O2_mean_only,,whole_EEG,completed,completed,,
v3__S1__linearized_gaussian__3__model__whole_fNIRS__O0,fit,S1,O0,,whole_fNIRS,completed,completed,,
v3__S1__linearized_gaussian__3__model__whole_fNIRS__O1,fit,S1,O1,,whole_fNIRS,completed,completed,,
v3__S1__linearized_gaussian__3__model__whole_fNIRS__O2,fit,S1,O2,,whole_fNIRS,completed,completed,,
v3__S1__linearized_gaussian__3__model__whole_fNIRS__O2_pointwise,fit,S1,O2_pointwise,,whole_fNIRS,completed,completed,,
v3__S1__linearized_gaussian__3__model__whole_fNIRS__O2_mean_only,fit,S1,O2_mean_only,,whole_fNIRS,completed,completed,,
v3__S1__linearized_gaussian__3__combined__full__O0,fit,S1,O0,,full,completed,completed,,
v3__S1__linearized_gaussian__3__combined__full__O1,fit,S1,O1,,full,completed,completed,,
v3__S1__linearized_gaussian__3__combined__full__O2,fit,S1,O2,,full,completed,completed,,
v3__S1__linearized_gaussian__3__combined__full__O2_pointwise,fit,S1,O2_pointwise,,full,completed,completed,,
v3__S1__linearized_gaussian__3__combined__full__O2_mean_only,fit,S1,O2_mean_only,,full,completed,completed,,
v3__S1__linearized_gaussian__3__combined__center_EEG__O0,fit,S1,O0,,center_EEG,completed,completed,,
v3__S1__linearized_gaussian__3__combined__center_EEG__O1,fit,S1,O1,,center_EEG,completed,completed,,
v3__S1__linearized_gaussian__3__combined__center_EEG__O2,fit,S1,O2,,center_EEG,completed,completed,,
v3__S1__linearized_gaussian__3__combined__center_EEG__O2_pointwise,fit,S1,O2_pointwise,,center_EEG,completed,completed,,
v3__S1__linearized_gaussian__3__combined__center_EEG__O2_mean_only,fit,S1,O2_mean_only,,center_EEG,completed,completed,,
v3__S1__linearized_gaussian__3__combined__center_fNIRS__O0,fit,S1,O0,,center_fNIRS,completed,completed,,
v3__S1__linearized_gaussian__3__combined__center_fNIRS__O1,fit,S1,O1,,center_fNIRS,completed,completed,,
v3__S1__linearized_gaussian__3__combined__center_fNIRS__O2,fit,S1,O2,,center_fNIRS,completed,completed,,
v3__S1__linearized_gaussian__3__combined__center_fNIRS__O2_pointwise,fit,S1,O2_pointwise,,center_fNIRS,completed,completed,,
v3__S1__linearized_gaussian__3__combined__center_fNIRS__O2_mean_only,fit,S1,O2_mean_only,,center_fNIRS,completed,completed,,
v3__S1__linearized_gaussian__3__combined__whole_EEG__O0,fit,S1,O0,,whole_EEG,completed,completed,,
v3__S1__linearized_gaussian__3__combined__whole_EEG__O1,fit,S1,O1,,whole_EEG,completed,completed,,
v3__S1__linearized_gaussian__3__combined__whole_EEG__O2,fit,S1,O2,,whole_EEG,completed,completed,,
v3__S1__linearized_gaussian__3__combined__whole_EEG__O2_pointwise,fit,S1,O2_pointwise,,whole_EEG,completed,completed,,
v3__S1__linearized_gaussian__3__combined__whole_EEG__O2_mean_only,fit,S1,O2_mean_only,,whole_EEG,completed,completed,,
v3__S1__linearized_gaussian__3__combined__whole_fNIRS__O0,fit,S1,O0,,whole_fNIRS,completed,completed,,
v3__S1__linearized_gaussian__3__combined__whole_fNIRS__O1,fit,S1,O1,,whole_fNIRS,completed,completed,,
v3__S1__linearized_gaussian__3__combined__whole_fNIRS__O2,fit,S1,O2,,whole_fNIRS,completed,completed,,
v3__S1__linearized_gaussian__3__combined__whole_fNIRS__O2_pointwise,fit,S1,O2_pointwise,,whole_fNIRS,completed,completed,,
v3__S1__linearized_gaussian__3__combined__whole_fNIRS__O2_mean_only,fit,S1,O2_mean_only,,whole_fNIRS,completed,completed,,
v3__S1__linearized_gaussian__4__model__full__O0,fit,S1,O0,,full,completed,completed,,
v3__S1__linearized_gaussian__4__model__full__O1,fit,S1,O1,,full,completed,completed,,
v3__S1__linearized_gaussian__4__model__full__O2,fit,S1,O2,,full,completed,completed,,
v3__S1__linearized_gaussian__4__model__full__O2_pointwise,fit,S1,O2_pointwise,,full,completed,completed,,
v3__S1__linearized_gaussian__4__model__full__O2_mean_only,fit,S1,O2_mean_only,,full,completed,completed,,
v3__S1__linearized_gaussian__4__model__center_EEG__O0,fit,S1,O0,,center_EEG,completed,completed,,
v3__S1__linearized_gaussian__4__model__center_EEG__O1,fit,S1,O1,,center_EEG,completed,completed,,
v3__S1__linearized_gaussian__4__model__center_EEG__O2,fit,S1,O2,,center_EEG,completed,completed,,
v3__S1__linearized_gaussian__4__model__center_EEG__O2_pointwise,fit,S1,O2_pointwise,,center_EEG,completed,completed,,
v3__S1__linearized_gaussian__4__model__center_EEG__O2_mean_only,fit,S1,O2_mean_only,,center_EEG,completed,completed,,
v3__S1__linearized_gaussian__4__model__center_fNIRS__O0,fit,S1,O0,,center_fNIRS,completed,completed,,
v3__S1__linearized_gaussian__4__model__center_fNIRS__O1,fit,S1,O1,,center_fNIRS,completed,completed,,
v3__S1__linearized_gaussian__4__model__center_fNIRS__O2,fit,S1,O2,,center_fNIRS,completed,completed,,
v3__S1__linearized_gaussian__4__model__center_fNIRS__O2_pointwise,fit,S1,O2_pointwise,,center_fNIRS,completed,completed,,
v3__S1__linearized_gaussian__4__model__center_fNIRS__O2_mean_only,fit,S1,O2_mean_only,,center_fNIRS,completed,completed,,
v3__S1__linearized_gaussian__4__model__whole_EEG__O0,fit,S1,O0,,whole_EEG,completed,completed,,
v3__S1__linearized_gaussian__4__model__whole_EEG__O1,fit,S1,O1,,whole_EEG,completed,completed,,
v3__S1__linearized_gaussian__4__model__whole_EEG__O2,fit,S1,O2,,whole_EEG,completed,completed,,
v3__S1__linearized_gaussian__4__model__whole_EEG__O2_pointwise,fit,S1,O2_pointwise,,whole_EEG,completed,completed,,
v3__S1__linearized_gaussian__4__model__whole_EEG__O2_mean_only,fit,S1,O2_mean_only,,whole_EEG,completed,completed,,
v3__S1__linearized_gaussian__4__model__whole_fNIRS__O0,fit,S1,O0,,whole_fNIRS,completed,completed,,
v3__S1__linearized_gaussian__4__model__whole_fNIRS__O1,fit,S1,O1,,whole_fNIRS,completed,completed,,
v3__S1__linearized_gaussian__4__model__whole_fNIRS__O2,fit,S1,O2,,whole_fNIRS,completed,completed,,
v3__S1__linearized_gaussian__4__model__whole_fNIRS__O2_pointwise,fit,S1,O2_pointwise,,whole_fNIRS,completed,completed,,
v3__S1__linearized_gaussian__4__model__whole_fNIRS__O2_mean_only,fit,S1,O2_mean_only,,whole_fNIRS,completed,completed,,
v3__S1__linearized_gaussian__4__combined__full__O0,fit,S1,O0,,full,completed,completed,,
v3__S1__linearized_gaussian__4__combined__full__O1,fit,S1,O1,,full,completed,completed,,
v3__S1__linearized_gaussian__4__combined__full__O2,fit,S1,O2,,full,completed,completed,,
v3__S1__linearized_gaussian__4__combined__full__O2_pointwise,fit,S1,O2_pointwise,,full,completed,completed,,
v3__S1__linearized_gaussian__4__combined__full__O2_mean_only,fit,S1,O2_mean_only,,full,completed,completed,,
v3__S1__linearized_gaussian__4__combined__center_EEG__O0,fit,S1,O0,,center_EEG,completed,completed,,
v3__S1__linearized_gaussian__4__combined__center_EEG__O1,fit,S1,O1,,center_EEG,completed,completed,,
v3__S1__linearized_gaussian__4__combined__center_EEG__O2,fit,S1,O2,,center_EEG,completed,completed,,
v3__S1__linearized_gaussian__4__combined__center_EEG__O2_pointwise,fit,S1,O2_pointwise,,center_EEG,completed,completed,,
v3__S1__linearized_gaussian__4__combined__center_EEG__O2_mean_only,fit,S1,O2_mean_only,,center_EEG,completed,completed,,
v3__S1__linearized_gaussian__4__combined__center_fNIRS__O0,fit,S1,O0,,center_fNIRS,completed,completed,,
v3__S1__linearized_gaussian__4__combined__center_fNIRS__O1,fit,S1,O1,,center_fNIRS,completed,completed,,
v3__S1__linearized_gaussian__4__combined__center_fNIRS__O2,fit,S1,O2,,center_fNIRS,completed,completed,,
v3__S1__linearized_gaussian__4__combined__center_fNIRS__O2_pointwise,fit,S1,O2_pointwise,,center_fNIRS,completed,completed,,
v3__S1__linearized_gaussian__4__combined__center_fNIRS__O2_mean_only,fit,S1,O2_mean_only,,center_fNIRS,completed,completed,,
v3__S1__linearized_gaussian__4__combined__whole_EEG__O0,fit,S1,O0,,whole_EEG,completed,completed,,
v3__S1__linearized_gaussian__4__combined__whole_EEG__O1,fit,S1,O1,,whole_EEG,completed,completed,,
v3__S1__linearized_gaussian__4__combined__whole_EEG__O2,fit,S1,O2,,whole_EEG,completed,completed,,
