task_id,axis,condition,law,variant,panel,role,solver,mode,status,full_time_truth,uncertainty
v3__S1__linearized_gaussian__0__model__whole_EEG__O0,,,linearized_gaussian,model,,,O0,whole_EEG,completed,"{""r"": {""nrmse"": 0.47352629110504324, ""correlation"": 0.8816445366529991, ""uncertainty"": ""conditional_approximation"", ""coverage95"": 0.9833333333333333, ""mean_interval_width"": 0.1842578396331912}, ""clean_EEG"": {""nrmse"": 0.47352629110504324, ""correlation"": 0.8816445366529991, ""uncertainty"": ""conditional_approximation"", ""coverage95"": 0.9833333333333333, ""mean_interval_width"": 0.1842578396331912}, ""clean_HbO"": {""nrmse"": 0.12755609315333458, ""correlation"": 0.9950343927121224, ""uncertainty"": ""conditional_approximation"", ""coverage95"": 0.9083333333333333, ""mean_interval_width"": 0.03507728156625403}, ""clean_HbR"": {""nrmse"": 0.1910806211135903, ""correlation"": 0.9851046656164358, ""uncertainty"": ""conditional_approximation"", ""coverage95"": 0.7416666666666667, ""mean_interval_width"": 0.01145225123486487}}",conditional_approximation
v3__S1__linearized_gaussian__0__model__whole_EEG__O1,,,linearized_gaussian,model,,,O1,whole_EEG,completed,"{""r"": {""nrmse"": 0.4727415164263493, ""correlation"": 0.8823507143007993, ""uncertainty"": ""conditional_approximation"", ""coverage95"": 0.975, ""mean_interval_width"": 0.18581509834959814}, ""clean_EEG"": {""nrmse"": 0.4727415164263493, ""correlation"": 0.8823507143007993, ""uncertainty"": ""conditional_approximation"", ""coverage95"": 0.975, ""mean_interval_width"": 0.18581509834959814}, ""clean_HbO"": {""nrmse"": 0.13331741156547103, ""correlation"": 0.9947220292634096, ""uncertainty"": ""conditional_approximation"", ""coverage95"": 0.9333333333333333, ""mean_interval_width"": 0.03675967036830657}, ""clean_HbR"": {""nrmse"": 0.20414950118212521, ""correlation"": 0.9846078682909521, ""uncertainty"": ""conditional_approximation"", ""coverage95"": 0.7333333333333333, ""mean_interval_width"": 0.01198415879541335}}",conditional_approximation
v3__S1__linearized_gaussian__0__model__whole_EEG__O2,,,linearized_gaussian,model,,,O2,whole_EEG,completed,"{""r"": {""nrmse"": 0.48527482609465983, ""correlation"": 0.8781931571848272, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_EEG"": {""nrmse"": 0.48527482609465983, ""correlation"": 0.8781931571848272, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbO"": {""nrmse"": 0.13013893354187725, ""correlation"": 0.9948363934853631, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbR"": {""nrmse"": 0.20439372528991537, ""correlation"": 0.9837542607061166, ""uncertainty"": ""NOT_ESTIMATED""}}",NOT_ESTIMATED
v3__S1__linearized_gaussian__0__model__whole_EEG__O2_pointwise,,,linearized_gaussian,model,,,O2_pointwise,whole_EEG,completed,"{""r"": {""nrmse"": 0.48527482609465983, ""correlation"": 0.8781931571848272, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_EEG"": {""nrmse"": 0.48527482609465983, ""correlation"": 0.8781931571848272, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbO"": {""nrmse"": 0.13013893354187725, ""correlation"": 0.9948363934853631, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbR"": {""nrmse"": 0.20439372528991537, ""correlation"": 0.9837542607061166, ""uncertainty"": ""NOT_ESTIMATED""}}",NOT_ESTIMATED
v3__S1__linearized_gaussian__0__model__whole_EEG__O2_mean_only,,,linearized_gaussian,model,,,O2_mean_only,whole_EEG,completed,"{""r"": {""nrmse"": 0.48527482609465983, ""correlation"": 0.8781931571848272, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_EEG"": {""nrmse"": 0.48527482609465983, ""correlation"": 0.8781931571848272, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbO"": {""nrmse"": 0.13013893354187725, ""correlation"": 0.9948363934853631, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbR"": {""nrmse"": 0.20439372528991537, ""correlation"": 0.9837542607061166, ""uncertainty"": ""NOT_ESTIMATED""}}",NOT_ESTIMATED
v3__S1__linearized_gaussian__0__model__whole_fNIRS__O0,,,linearized_gaussian,model,,,O0,whole_fNIRS,completed,"{""r"": {""nrmse"": 0.47832816264207345, ""correlation"": 0.8885259329842401, ""uncertainty"": ""conditional_approximation"", ""coverage95"": 0.975, ""mean_interval_width"": 0.1717078255461372}, ""clean_EEG"": {""nrmse"": 0.47832816264207345, ""correlation"": 0.8885259329842401, ""uncertainty"": ""conditional_approximation"", ""coverage95"": 0.975, ""mean_interval_width"": 0.1717078255461372}, ""clean_HbO"": {""nrmse"": 0.3452825610021397, ""correlation"": 0.9715735657349073, ""uncertainty"": ""conditional_approximation"", ""coverage95"": 1.0, ""mean_interval_width"": 0.10960627525099112}, ""clean_HbR"": {""nrmse"": 0.3492780657413977, ""correlation"": 0.9731335496020243, ""uncertainty"": ""conditional_approximation"", ""coverage95"": 0.9416666666666667, ""mean_interval_width"": 0.03422292406533989}}",conditional_approximation
v3__S1__linearized_gaussian__0__model__whole_fNIRS__O1,,,linearized_gaussian,model,,,O1,whole_fNIRS,completed,"{""r"": {""nrmse"": 0.46853673295503356, ""correlation"": 0.886822551631876, ""uncertainty"": ""conditional_approximation"", ""coverage95"": 0.975, ""mean_interval_width"": 0.17875568188467592}, ""clean_EEG"": {""nrmse"": 0.46853673295503356, ""correlation"": 0.886822551631876, ""uncertainty"": ""conditional_approximation"", ""coverage95"": 0.975, ""mean_interval_width"": 0.17875568188467592}, ""clean_HbO"": {""nrmse"": 0.27734912288770036, ""correlation"": 0.9758872019124496, ""uncertainty"": ""conditional_approximation"", ""coverage95"": 1.0, ""mean_interval_width"": 0.11477332941384041}, ""clean_HbR"": {""nrmse"": 0.284983377953714, ""correlation"": 0.9788363333422319, ""uncertainty"": ""conditional_approximation"", ""coverage95"": 0.9333333333333333, ""mean_interval_width"": 0.036441180597100956}}",conditional_approximation
v3__S1__linearized_gaussian__0__model__whole_fNIRS__O2,,,linearized_gaussian,model,,,O2,whole_fNIRS,completed,"{""r"": {""nrmse"": 0.4685367328562122, ""correlation"": 0.886822551609694, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_EEG"": {""nrmse"": 0.4685367328562122, ""correlation"": 0.886822551609694, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbO"": {""nrmse"": 0.2966338722717644, ""correlation"": 0.9732205005631241, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbR"": {""nrmse"": 0.29658860278746674, ""correlation"": 0.9744837121036514, ""uncertainty"": ""NOT_ESTIMATED""}}",NOT_ESTIMATED
v3__S1__linearized_gaussian__0__model__whole_fNIRS__O2_pointwise,,,linearized_gaussian,model,,,O2_pointwise,whole_fNIRS,completed,"{""r"": {""nrmse"": 0.4685367328562122, ""correlation"": 0.886822551609694, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_EEG"": {""nrmse"": 0.4685367328562122, ""correlation"": 0.886822551609694, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbO"": {""nrmse"": 0.2966338722717644, ""correlation"": 0.9732205005631241, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbR"": {""nrmse"": 0.29658860278746674, ""correlation"": 0.9744837121036514, ""uncertainty"": ""NOT_ESTIMATED""}}",NOT_ESTIMATED
v3__S1__linearized_gaussian__0__model__whole_fNIRS__O2_mean_only,,,linearized_gaussian,model,,,O2_mean_only,whole_fNIRS,completed,"{""r"": {""nrmse"": 0.4685367328562122, ""correlation"": 0.886822551609694, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_EEG"": {""nrmse"": 0.4685367328562122, ""correlation"": 0.886822551609694, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbO"": {""nrmse"": 0.2966338722717644, ""correlation"": 0.9732205005631241, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbR"": {""nrmse"": 0.29658860278746674, ""correlation"": 0.9744837121036514, ""uncertainty"": ""NOT_ESTIMATED""}}",NOT_ESTIMATED
v3__S1__linearized_gaussian__0__combined__full__O0,,,linearized_gaussian,combined,,,O0,full,completed,"{""r"": {""nrmse"": 0.6486572189219109, ""correlation"": 0.8250522050902441, ""uncertainty"": ""conditional_approximation"", ""coverage95"": 0.8166666666666667, ""mean_interval_width"": 0.13902263737350543}, ""clean_EEG"": {""nrmse"": 0.6486572189219109, ""correlation"": 0.8250522050902441, ""uncertainty"": ""conditional_approximation"", ""coverage95"": 0.8166666666666667, ""mean_interval_width"": 0.13902263737350543}, ""clean_HbO"": {""nrmse"": 0.5391012021975834, ""correlation"": 0.9392141082889626, ""uncertainty"": ""conditional_approximation"", ""coverage95"": 0.175, ""mean_interval_width"": 0.01640648871215947}, ""clean_HbR"": {""nrmse"": 0.48451549475716, ""correlation"": 0.974431635920492, ""uncertainty"": ""conditional_approximation"", ""coverage95"": 0.175, ""mean_interval_width"": 0.006425937178890939}}",conditional_approximation
v3__S1__linearized_gaussian__0__combined__full__O1,,,linearized_gaussian,combined,,,O1,full,completed,"{""r"": {""nrmse"": 0.43100364961331705, ""correlation"": 0.9046488327496678, ""uncertainty"": ""conditional_approximation"", ""coverage95"": 0.975, ""mean_interval_width"": 0.15526385306581794}, ""clean_EEG"": {""nrmse"": 0.43100364961331705, ""correlation"": 0.9046488327496678, ""uncertainty"": ""conditional_approximation"", ""coverage95"": 0.975, ""mean_interval_width"": 0.15526385306581794}, ""clean_HbO"": {""nrmse"": 0.16074332078190678, ""correlation"": 0.9961299190995152, ""uncertainty"": ""conditional_approximation"", ""coverage95"": 1.0, ""mean_interval_width"": 0.05805514173410646}, ""clean_HbR"": {""nrmse"": 0.18850109480516258, ""correlation"": 0.9907177826208413, ""uncertainty"": ""conditional_approximation"", ""coverage95"": 0.925, ""mean_interval_width"": 0.019463906260152975}}",conditional_approximation
v3__S1__linearized_gaussian__0__combined__full__O2,,,linearized_gaussian,combined,,,O2,full,completed,"{""r"": {""nrmse"": 0.4309875319481132, ""correlation"": 0.9048611262992894, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_EEG"": {""nrmse"": 0.4309875319481132, ""correlation"": 0.9048611262992894, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbO"": {""nrmse"": 0.19562242992448095, ""correlation"": 0.996269312459532, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbR"": {""nrmse"": 0.21332644685854998, ""correlation"": 0.9898745548993105, ""uncertainty"": ""NOT_ESTIMATED""}}",NOT_ESTIMATED
v3__S1__linearized_gaussian__0__combined__full__O2_pointwise,,,linearized_gaussian,combined,,,O2_pointwise,full,completed,"{""r"": {""nrmse"": 0.6396631415878825, ""correlation"": 0.8410314632702379, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_EEG"": {""nrmse"": 0.6396631415878825, ""correlation"": 0.8410314632702379, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbO"": {""nrmse"": 0.536034219849043, ""correlation"": 0.9477849083408518, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbR"": {""nrmse"": 0.46862882872452916, ""correlation"": 0.9631932541109597, ""uncertainty"": ""NOT_ESTIMATED""}}",NOT_ESTIMATED
v3__S1__linearized_gaussian__0__combined__full__O2_mean_only,,,linearized_gaussian,combined,,,O2_mean_only,full,completed,"{""r"": {""nrmse"": 0.5564538898586577, ""correlation"": 0.8575691009902129, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_EEG"": {""nrmse"": 0.5564538898586577, ""correlation"": 0.8575691009902129, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbO"": {""nrmse"": 0.46084881859406635, ""correlation"": 0.968905097777393, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbR"": {""nrmse"": 0.451746314804402, ""correlation"": 0.9783086109219674, ""uncertainty"": ""NOT_ESTIMATED""}}",NOT_ESTIMATED
v3__S1__linearized_gaussian__0__combined__center_EEG__O0,,,linearized_gaussian,combined,,,O0,center_EEG,completed,"{""r"": {""nrmse"": 0.6469082406359973, ""correlation"": 0.8229261534826909, ""uncertainty"": ""conditional_approximation"", ""coverage95"": 0.825, ""mean_interval_width"": 0.1413345817607559}, ""clean_EEG"": {""nrmse"": 0.6469082406359973, ""correlation"": 0.8229261534826909, ""uncertainty"": ""conditional_approximation"", ""coverage95"": 0.825, ""mean_interval_width"": 0.1413345817607559}, ""clean_HbO"": {""nrmse"": 0.5333774645832392, ""correlation"": 0.9431208161293357, ""uncertainty"": ""conditional_approximation"", ""coverage95"": 0.175, ""mean_interval_width"": 0.01618414906541131}, ""clean_HbR"": {""nrmse"": 0.48414738181054345, ""correlation"": 0.9743006426827149, ""uncertainty"": ""conditional_approximation"", ""coverage95"": 0.175, ""mean_interval_width"": 0.006422625668723378}}",conditional_approximation
v3__S1__linearized_gaussian__0__combined__center_EEG__O1,,,linearized_gaussian,combined,,,O1,center_EEG,completed,"{""r"": {""nrmse"": 0.41981405609872086, ""correlation"": 0.9095229641495928, ""uncertainty"": ""conditional_approximation"", ""coverage95"": 0.975, ""mean_interval_width"": 0.15876254567224068}, ""clean_EEG"": {""nrmse"": 0.41981405609872086, ""correlation"": 0.9095229641495928, ""uncertainty"": ""conditional_approximation"", ""coverage95"": 0.975, ""mean_interval_width"": 0.15876254567224068}, ""clean_HbO"": {""nrmse"": 0.1608619634709025, ""correlation"": 0.9960743349971007, ""uncertainty"": ""conditional_approximation"", ""coverage95"": 1.0, ""mean_interval_width"": 0.05826688556661098}, ""clean_HbR"": {""nrmse"": 0.18827299871840708, ""correlation"": 0.9905801145094469, ""uncertainty"": ""conditional_approximation"", ""coverage95"": 0.925, ""mean_interval_width"": 0.01950402240896645}}",conditional_approximation
v3__S1__linearized_gaussian__0__combined__center_EEG__O2,,,linearized_gaussian,combined,,,O2,center_EEG,completed,"{""r"": {""nrmse"": 0.4219972285883624, ""correlation"": 0.9087612913477587, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_EEG"": {""nrmse"": 0.4219972285883624, ""correlation"": 0.9087612913477587, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbO"": {""nrmse"": 0.20471526368631923, ""correlation"": 0.996335795084813, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbR"": {""nrmse"": 0.21872867811739433, ""correlation"": 0.9902884099861272, ""uncertainty"": ""NOT_ESTIMATED""}}",NOT_ESTIMATED
v3__S1__linearized_gaussian__0__combined__center_EEG__O2_pointwise,,,linearized_gaussian,combined,,,O2_pointwise,center_EEG,completed,"{""r"": {""nrmse"": 0.639807013969555, ""correlation"": 0.8404290222223801, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_EEG"": {""nrmse"": 0.639807013969555, ""correlation"": 0.8404290222223801, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbO"": {""nrmse"": 0.5368063160906048, ""correlation"": 0.9472283063271122, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbR"": {""nrmse"": 0.47081622763092745, ""correlation"": 0.9622844693652219, ""uncertainty"": ""NOT_ESTIMATED""}}",NOT_ESTIMATED
