task_id,family,kind,layer,queue_position,planned_solves,timeout_seconds,payload
v3__S1__linearized_gaussian__0__model__center_fNIRS__O0,S1,v3_temporal,0,10,1,900,"{""id"": ""v3__S1__linearized_gaussian__0__model__center_fNIRS__O0"", ""family"": ""S1"", ""layer"": 0, ""kind"": ""v3_temporal"", ""stage"": 1, ""dependencies"": [], ""prerequisites"": [], ""planned_solves"": 1, ""law"": ""linearized_gaussian"", ""replicate"": 0, ""seed"": 20661000, ""variant"": ""model"", ""mode"": ""center_fNIRS"", ""solver"": ""O0"", ""timeout_seconds"": 900, ""row_ids"": [""fit""], ""queue_position"": 10}"
v3__S1__linearized_gaussian__0__model__center_fNIRS__O1,S1,v3_temporal,0,11,1,900,"{""id"": ""v3__S1__linearized_gaussian__0__model__center_fNIRS__O1"", ""family"": ""S1"", ""layer"": 0, ""kind"": ""v3_temporal"", ""stage"": 1, ""dependencies"": [], ""prerequisites"": [], ""planned_solves"": 1, ""law"": ""linearized_gaussian"", ""replicate"": 0, ""seed"": 20661000, ""variant"": ""model"", ""mode"": ""center_fNIRS"", ""solver"": ""O1"", ""timeout_seconds"": 900, ""row_ids"": [""fit""], ""queue_position"": 11}"
v3__S1__linearized_gaussian__0__model__center_fNIRS__O2,S1,v3_temporal,0,12,1,1800,"{""id"": ""v3__S1__linearized_gaussian__0__model__center_fNIRS__O2"", ""family"": ""S1"", ""layer"": 0, ""kind"": ""v3_temporal"", ""stage"": 1, ""dependencies"": [], ""prerequisites"": [], ""planned_solves"": 1, ""law"": ""linearized_gaussian"", ""replicate"": 0, ""seed"": 20661000, ""variant"": ""model"", ""mode"": ""center_fNIRS"", ""solver"": ""O2"", ""timeout_seconds"": 1800, ""row_ids"": [""fit""], ""queue_position"": 12}"
v3__S1__linearized_gaussian__0__model__center_fNIRS__O2_pointwise,S1,v3_temporal,0,13,1,1800,"{""id"": ""v3__S1__linearized_gaussian__0__model__center_fNIRS__O2_pointwise"", ""family"": ""S1"", ""layer"": 0, ""kind"": ""v3_temporal"", ""stage"": 1, ""dependencies"": [], ""prerequisites"": [], ""planned_solves"": 1, ""law"": ""linearized_gaussian"", ""replicate"": 0, ""seed"": 20661000, ""variant"": ""model"", ""mode"": ""center_fNIRS"", ""solver"": ""O2_pointwise"", ""timeout_seconds"": 1800, ""row_ids"": [""fit""], ""queue_position"": 13}"
v3__S1__linearized_gaussian__0__model__center_fNIRS__O2_mean_only,S1,v3_temporal,0,14,1,1800,"{""id"": ""v3__S1__linearized_gaussian__0__model__center_fNIRS__O2_mean_only"", ""family"": ""S1"", ""layer"": 0, ""kind"": ""v3_temporal"", ""stage"": 1, ""dependencies"": [], ""prerequisites"": [], ""planned_solves"": 1, ""law"": ""linearized_gaussian"", ""replicate"": 0, ""seed"": 20661000, ""variant"": ""model"", ""mode"": ""center_fNIRS"", ""solver"": ""O2_mean_only"", ""timeout_seconds"": 1800, ""row_ids"": [""fit""], ""queue_position"": 14}"
v3__S1__linearized_gaussian__0__model__whole_EEG__O0,S1,v3_temporal,0,15,1,900,"{""id"": ""v3__S1__linearized_gaussian__0__model__whole_EEG__O0"", ""family"": ""S1"", ""layer"": 0, ""kind"": ""v3_temporal"", ""stage"": 1, ""dependencies"": [], ""prerequisites"": [], ""planned_solves"": 1, ""law"": ""linearized_gaussian"", ""replicate"": 0, ""seed"": 20661000, ""variant"": ""model"", ""mode"": ""whole_EEG"", ""solver"": ""O0"", ""timeout_seconds"": 900, ""row_ids"": [""fit""], ""queue_position"": 15}"
v3__S1__linearized_gaussian__0__model__whole_EEG__O1,S1,v3_temporal,0,16,1,900,"{""id"": ""v3__S1__linearized_gaussian__0__model__whole_EEG__O1"", ""family"": ""S1"", ""layer"": 0, ""kind"": ""v3_temporal"", ""stage"": 1, ""dependencies"": [], ""prerequisites"": [], ""planned_solves"": 1, ""law"": ""linearized_gaussian"", ""replicate"": 0, ""seed"": 20661000, ""variant"": ""model"", ""mode"": ""whole_EEG"", ""solver"": ""O1"", ""timeout_seconds"": 900, ""row_ids"": [""fit""], ""queue_position"": 16}"
v3__S1__linearized_gaussian__0__model__whole_EEG__O2,S1,v3_temporal,0,17,1,1800,"{""id"": ""v3__S1__linearized_gaussian__0__model__whole_EEG__O2"", ""family"": ""S1"", ""layer"": 0, ""kind"": ""v3_temporal"", ""stage"": 1, ""dependencies"": [], ""prerequisites"": [], ""planned_solves"": 1, ""law"": ""linearized_gaussian"", ""replicate"": 0, ""seed"": 20661000, ""variant"": ""model"", ""mode"": ""whole_EEG"", ""solver"": ""O2"", ""timeout_seconds"": 1800, ""row_ids"": [""fit""], ""queue_position"": 17}"
v3__S1__linearized_gaussian__0__model__whole_EEG__O2_pointwise,S1,v3_temporal,0,18,1,1800,"{""id"": ""v3__S1__linearized_gaussian__0__model__whole_EEG__O2_pointwise"", ""family"": ""S1"", ""layer"": 0, ""kind"": ""v3_temporal"", ""stage"": 1, ""dependencies"": [], ""prerequisites"": [], ""planned_solves"": 1, ""law"": ""linearized_gaussian"", ""replicate"": 0, ""seed"": 20661000, ""variant"": ""model"", ""mode"": ""whole_EEG"", ""solver"": ""O2_pointwise"", ""timeout_seconds"": 1800, ""row_ids"": [""fit""], ""queue_position"": 18}"
v3__S1__linearized_gaussian__0__model__whole_EEG__O2_mean_only,S1,v3_temporal,0,19,1,1800,"{""id"": ""v3__S1__linearized_gaussian__0__model__whole_EEG__O2_mean_only"", ""family"": ""S1"", ""layer"": 0, ""kind"": ""v3_temporal"", ""stage"": 1, ""dependencies"": [], ""prerequisites"": [], ""planned_solves"": 1, ""law"": ""linearized_gaussian"", ""replicate"": 0, ""seed"": 20661000, ""variant"": ""model"", ""mode"": ""whole_EEG"", ""solver"": ""O2_mean_only"", ""timeout_seconds"": 1800, ""row_ids"": [""fit""], ""queue_position"": 19}"
v3__S1__linearized_gaussian__0__model__whole_fNIRS__O0,S1,v3_temporal,0,20,1,900,"{""id"": ""v3__S1__linearized_gaussian__0__model__whole_fNIRS__O0"", ""family"": ""S1"", ""layer"": 0, ""kind"": ""v3_temporal"", ""stage"": 1, ""dependencies"": [], ""prerequisites"": [], ""planned_solves"": 1, ""law"": ""linearized_gaussian"", ""replicate"": 0, ""seed"": 20661000, ""variant"": ""model"", ""mode"": ""whole_fNIRS"", ""solver"": ""O0"", ""timeout_seconds"": 900, ""row_ids"": [""fit""], ""queue_position"": 20}"
v3__S1__linearized_gaussian__0__model__whole_fNIRS__O1,S1,v3_temporal,0,21,1,900,"{""id"": ""v3__S1__linearized_gaussian__0__model__whole_fNIRS__O1"", ""family"": ""S1"", ""layer"": 0, ""kind"": ""v3_temporal"", ""stage"": 1, ""dependencies"": [], ""prerequisites"": [], ""planned_solves"": 1, ""law"": ""linearized_gaussian"", ""replicate"": 0, ""seed"": 20661000, ""variant"": ""model"", ""mode"": ""whole_fNIRS"", ""solver"": ""O1"", ""timeout_seconds"": 900, ""row_ids"": [""fit""], ""queue_position"": 21}"
v3__S1__linearized_gaussian__0__model__whole_fNIRS__O2,S1,v3_temporal,0,22,1,1800,"{""id"": ""v3__S1__linearized_gaussian__0__model__whole_fNIRS__O2"", ""family"": ""S1"", ""layer"": 0, ""kind"": ""v3_temporal"", ""stage"": 1, ""dependencies"": [], ""prerequisites"": [], ""planned_solves"": 1, ""law"": ""linearized_gaussian"", ""replicate"": 0, ""seed"": 20661000, ""variant"": ""model"", ""mode"": ""whole_fNIRS"", ""solver"": ""O2"", ""timeout_seconds"": 1800, ""row_ids"": [""fit""], ""queue_position"": 22}"
v3__S1__linearized_gaussian__0__model__whole_fNIRS__O2_pointwise,S1,v3_temporal,0,23,1,1800,"{""id"": ""v3__S1__linearized_gaussian__0__model__whole_fNIRS__O2_pointwise"", ""family"": ""S1"", ""layer"": 0, ""kind"": ""v3_temporal"", ""stage"": 1, ""dependencies"": [], ""prerequisites"": [], ""planned_solves"": 1, ""law"": ""linearized_gaussian"", ""replicate"": 0, ""seed"": 20661000, ""variant"": ""model"", ""mode"": ""whole_fNIRS"", ""solver"": ""O2_pointwise"", ""timeout_seconds"": 1800, ""row_ids"": [""fit""], ""queue_position"": 23}"
v3__S1__linearized_gaussian__0__model__whole_fNIRS__O2_mean_only,S1,v3_temporal,0,24,1,1800,"{""id"": ""v3__S1__linearized_gaussian__0__model__whole_fNIRS__O2_mean_only"", ""family"": ""S1"", ""layer"": 0, ""kind"": ""v3_temporal"", ""stage"": 1, ""dependencies"": [], ""prerequisites"": [], ""planned_solves"": 1, ""law"": ""linearized_gaussian"", ""replicate"": 0, ""seed"": 20661000, ""variant"": ""model"", ""mode"": ""whole_fNIRS"", ""solver"": ""O2_mean_only"", ""timeout_seconds"": 1800, ""row_ids"": [""fit""], ""queue_position"": 24}"
v3__S1__linearized_gaussian__0__combined__full__O0,S1,v3_temporal,0,25,1,900,"{""id"": ""v3__S1__linearized_gaussian__0__combined__full__O0"", ""family"": ""S1"", ""layer"": 0, ""kind"": ""v3_temporal"", ""stage"": 1, ""dependencies"": [], ""prerequisites"": [], ""planned_solves"": 1, ""law"": ""linearized_gaussian"", ""replicate"": 0, ""seed"": 20661000, ""variant"": ""combined"", ""mode"": ""full"", ""solver"": ""O0"", ""timeout_seconds"": 900, ""row_ids"": [""fit""], ""queue_position"": 25}"
v3__S1__linearized_gaussian__0__combined__full__O1,S1,v3_temporal,0,26,1,900,"{""id"": ""v3__S1__linearized_gaussian__0__combined__full__O1"", ""family"": ""S1"", ""layer"": 0, ""kind"": ""v3_temporal"", ""stage"": 1, ""dependencies"": [], ""prerequisites"": [], ""planned_solves"": 1, ""law"": ""linearized_gaussian"", ""replicate"": 0, ""seed"": 20661000, ""variant"": ""combined"", ""mode"": ""full"", ""solver"": ""O1"", ""timeout_seconds"": 900, ""row_ids"": [""fit""], ""queue_position"": 26}"
v3__S1__linearized_gaussian__0__combined__full__O2,S1,v3_temporal,0,27,1,1800,"{""id"": ""v3__S1__linearized_gaussian__0__combined__full__O2"", ""family"": ""S1"", ""layer"": 0, ""kind"": ""v3_temporal"", ""stage"": 1, ""dependencies"": [], ""prerequisites"": [], ""planned_solves"": 1, ""law"": ""linearized_gaussian"", ""replicate"": 0, ""seed"": 20661000, ""variant"": ""combined"", ""mode"": ""full"", ""solver"": ""O2"", ""timeout_seconds"": 1800, ""row_ids"": [""fit""], ""queue_position"": 27}"
v3__S1__linearized_gaussian__0__combined__full__O2_pointwise,S1,v3_temporal,0,28,1,1800,"{""id"": ""v3__S1__linearized_gaussian__0__combined__full__O2_pointwise"", ""family"": ""S1"", ""layer"": 0, ""kind"": ""v3_temporal"", ""stage"": 1, ""dependencies"": [], ""prerequisites"": [], ""planned_solves"": 1, ""law"": ""linearized_gaussian"", ""replicate"": 0, ""seed"": 20661000, ""variant"": ""combined"", ""mode"": ""full"", ""solver"": ""O2_pointwise"", ""timeout_seconds"": 1800, ""row_ids"": [""fit""], ""queue_position"": 28}"
v3__S1__linearized_gaussian__0__combined__full__O2_mean_only,S1,v3_temporal,0,29,1,1800,"{""id"": ""v3__S1__linearized_gaussian__0__combined__full__O2_mean_only"", ""family"": ""S1"", ""layer"": 0, ""kind"": ""v3_temporal"", ""stage"": 1, ""dependencies"": [], ""prerequisites"": [], ""planned_solves"": 1, ""law"": ""linearized_gaussian"", ""replicate"": 0, ""seed"": 20661000, ""variant"": ""combined"", ""mode"": ""full"", ""solver"": ""O2_mean_only"", ""timeout_seconds"": 1800, ""row_ids"": [""fit""], ""queue_position"": 29}"
v3__S1__linearized_gaussian__0__combined__center_EEG__O0,S1,v3_temporal,0,30,1,900,"{""id"": ""v3__S1__linearized_gaussian__0__combined__center_EEG__O0"", ""family"": ""S1"", ""layer"": 0, ""kind"": ""v3_temporal"", ""stage"": 1, ""dependencies"": [], ""prerequisites"": [], ""planned_solves"": 1, ""law"": ""linearized_gaussian"", ""replicate"": 0, ""seed"": 20661000, ""variant"": ""combined"", ""mode"": ""center_EEG"", ""solver"": ""O0"", ""timeout_seconds"": 900, ""row_ids"": [""fit""], ""queue_position"": 30}"
v3__S1__linearized_gaussian__0__combined__center_EEG__O1,S1,v3_temporal,0,31,1,900,"{""id"": ""v3__S1__linearized_gaussian__0__combined__center_EEG__O1"", ""family"": ""S1"", ""layer"": 0, ""kind"": ""v3_temporal"", ""stage"": 1, ""dependencies"": [], ""prerequisites"": [], ""planned_solves"": 1, ""law"": ""linearized_gaussian"", ""replicate"": 0, ""seed"": 20661000, ""variant"": ""combined"", ""mode"": ""center_EEG"", ""solver"": ""O1"", ""timeout_seconds"": 900, ""row_ids"": [""fit""], ""queue_position"": 31}"
v3__S1__linearized_gaussian__0__combined__center_EEG__O2,S1,v3_temporal,0,32,1,1800,"{""id"": ""v3__S1__linearized_gaussian__0__combined__center_EEG__O2"", ""family"": ""S1"", ""layer"": 0, ""kind"": ""v3_temporal"", ""stage"": 1, ""dependencies"": [], ""prerequisites"": [], ""planned_solves"": 1, ""law"": ""linearized_gaussian"", ""replicate"": 0, ""seed"": 20661000, ""variant"": ""combined"", ""mode"": ""center_EEG"", ""solver"": ""O2"", ""timeout_seconds"": 1800, ""row_ids"": [""fit""], ""queue_position"": 32}"
v3__S1__linearized_gaussian__0__combined__center_EEG__O2_pointwise,S1,v3_temporal,0,33,1,1800,"{""id"": ""v3__S1__linearized_gaussian__0__combined__center_EEG__O2_pointwise"", ""family"": ""S1"", ""layer"": 0, ""kind"": ""v3_temporal"", ""stage"": 1, ""dependencies"": [], ""prerequisites"": [], ""planned_solves"": 1, ""law"": ""linearized_gaussian"", ""replicate"": 0, ""seed"": 20661000, ""variant"": ""combined"", ""mode"": ""center_EEG"", ""solver"": ""O2_pointwise"", ""timeout_seconds"": 1800, ""row_ids"": [""fit""], ""queue_position"": 33}"
v3__S1__linearized_gaussian__0__combined__center_EEG__O2_mean_only,S1,v3_temporal,0,34,1,1800,"{""id"": ""v3__S1__linearized_gaussian__0__combined__center_EEG__O2_mean_only"", ""family"": ""S1"", ""layer"": 0, ""kind"": ""v3_temporal"", ""stage"": 1, ""dependencies"": [], ""prerequisites"": [], ""planned_solves"": 1, ""law"": ""linearized_gaussian"", ""replicate"": 0, ""seed"": 20661000, ""variant"": ""combined"", ""mode"": ""center_EEG"", ""solver"": ""O2_mean_only"", ""timeout_seconds"": 1800, ""row_ids"": [""fit""], ""queue_position"": 34}"
v3__S1__linearized_gaussian__0__combined__center_fNIRS__O0,S1,v3_temporal,0,35,1,900,"{""id"": ""v3__S1__linearized_gaussian__0__combined__center_fNIRS__O0"", ""family"": ""S1"", ""layer"": 0, ""kind"": ""v3_temporal"", ""stage"": 1, ""dependencies"": [], ""prerequisites"": [], ""planned_solves"": 1, ""law"": ""linearized_gaussian"", ""replicate"": 0, ""seed"": 20661000, ""variant"": ""combined"", ""mode"": ""center_fNIRS"", ""solver"": ""O0"", ""timeout_seconds"": 900, ""row_ids"": [""fit""], ""queue_position"": 35}"
v3__S1__linearized_gaussian__0__combined__center_fNIRS__O1,S1,v3_temporal,0,36,1,900,"{""id"": ""v3__S1__linearized_gaussian__0__combined__center_fNIRS__O1"", ""family"": ""S1"", ""layer"": 0, ""kind"": ""v3_temporal"", ""stage"": 1, ""dependencies"": [], ""prerequisites"": [], ""planned_solves"": 1, ""law"": ""linearized_gaussian"", ""replicate"": 0, ""seed"": 20661000, ""variant"": ""combined"", ""mode"": ""center_fNIRS"", ""solver"": ""O1"", ""timeout_seconds"": 900, ""row_ids"": [""fit""], ""queue_position"": 36}"
v3__S1__linearized_gaussian__0__combined__center_fNIRS__O2,S1,v3_temporal,0,37,1,1800,"{""id"": ""v3__S1__linearized_gaussian__0__combined__center_fNIRS__O2"", ""family"": ""S1"", ""layer"": 0, ""kind"": ""v3_temporal"", ""stage"": 1, ""dependencies"": [], ""prerequisites"": [], ""planned_solves"": 1, ""law"": ""linearized_gaussian"", ""replicate"": 0, ""seed"": 20661000, ""variant"": ""combined"", ""mode"": ""center_fNIRS"", ""solver"": ""O2"", ""timeout_seconds"": 1800, ""row_ids"": [""fit""], ""queue_position"": 37}"
v3__S1__linearized_gaussian__0__combined__center_fNIRS__O2_pointwise,S1,v3_temporal,0,38,1,1800,"{""id"": ""v3__S1__linearized_gaussian__0__combined__center_fNIRS__O2_pointwise"", ""family"": ""S1"", ""layer"": 0, ""kind"": ""v3_temporal"", ""stage"": 1, ""dependencies"": [], ""prerequisites"": [], ""planned_solves"": 1, ""law"": ""linearized_gaussian"", ""replicate"": 0, ""seed"": 20661000, ""variant"": ""combined"", ""mode"": ""center_fNIRS"", ""solver"": ""O2_pointwise"", ""timeout_seconds"": 1800, ""row_ids"": [""fit""], ""queue_position"": 38}"
v3__S1__linearized_gaussian__0__combined__center_fNIRS__O2_mean_only,S1,v3_temporal,0,39,1,1800,"{""id"": ""v3__S1__linearized_gaussian__0__combined__center_fNIRS__O2_mean_only"", ""family"": ""S1"", ""layer"": 0, ""kind"": ""v3_temporal"", ""stage"": 1, ""dependencies"": [], ""prerequisites"": [], ""planned_solves"": 1, ""law"": ""linearized_gaussian"", ""replicate"": 0, ""seed"": 20661000, ""variant"": ""combined"", ""mode"": ""center_fNIRS"", ""solver"": ""O2_mean_only"", ""timeout_seconds"": 1800, ""row_ids"": [""fit""], ""queue_position"": 39}"
v3__S1__linearized_gaussian__0__combined__whole_EEG__O0,S1,v3_temporal,0,40,1,900,"{""id"": ""v3__S1__linearized_gaussian__0__combined__whole_EEG__O0"", ""family"": ""S1"", ""layer"": 0, ""kind"": ""v3_temporal"", ""stage"": 1, ""dependencies"": [], ""prerequisites"": [], ""planned_solves"": 1, ""law"": ""linearized_gaussian"", ""replicate"": 0, ""seed"": 20661000, ""variant"": ""combined"", ""mode"": ""whole_EEG"", ""solver"": ""O0"", ""timeout_seconds"": 900, ""row_ids"": [""fit""], ""queue_position"": 40}"
v3__S1__linearized_gaussian__0__combined__whole_EEG__O1,S1,v3_temporal,0,41,1,900,"{""id"": ""v3__S1__linearized_gaussian__0__combined__whole_EEG__O1"", ""family"": ""S1"", ""layer"": 0, ""kind"": ""v3_temporal"", ""stage"": 1, ""dependencies"": [], ""prerequisites"": [], ""planned_solves"": 1, ""law"": ""linearized_gaussian"", ""replicate"": 0, ""seed"": 20661000, ""variant"": ""combined"", ""mode"": ""whole_EEG"", ""solver"": ""O1"", ""timeout_seconds"": 900, ""row_ids"": [""fit""], ""queue_position"": 41}"
v3__S1__linearized_gaussian__0__combined__whole_EEG__O2,S1,v3_temporal,0,42,1,1800,"{""id"": ""v3__S1__linearized_gaussian__0__combined__whole_EEG__O2"", ""family"": ""S1"", ""layer"": 0, ""kind"": ""v3_temporal"", ""stage"": 1, ""dependencies"": [], ""prerequisites"": [], ""planned_solves"": 1, ""law"": ""linearized_gaussian"", ""replicate"": 0, ""seed"": 20661000, ""variant"": ""combined"", ""mode"": ""whole_EEG"", ""solver"": ""O2"", ""timeout_seconds"": 1800, ""row_ids"": [""fit""], ""queue_position"": 42}"
v3__S1__linearized_gaussian__0__combined__whole_EEG__O2_pointwise,S1,v3_temporal,0,43,1,1800,"{""id"": ""v3__S1__linearized_gaussian__0__combined__whole_EEG__O2_pointwise"", ""family"": ""S1"", ""layer"": 0, ""kind"": ""v3_temporal"", ""stage"": 1, ""dependencies"": [], ""prerequisites"": [], ""planned_solves"": 1, ""law"": ""linearized_gaussian"", ""replicate"": 0, ""seed"": 20661000, ""variant"": ""combined"", ""mode"": ""whole_EEG"", ""solver"": ""O2_pointwise"", ""timeout_seconds"": 1800, ""row_ids"": [""fit""], ""queue_position"": 43}"
v3__S1__linearized_gaussian__0__combined__whole_EEG__O2_mean_only,S1,v3_temporal,0,44,1,1800,"{""id"": ""v3__S1__linearized_gaussian__0__combined__whole_EEG__O2_mean_only"", ""family"": ""S1"", ""layer"": 0, ""kind"": ""v3_temporal"", ""stage"": 1, ""dependencies"": [], ""prerequisites"": [], ""planned_solves"": 1, ""law"": ""linearized_gaussian"", ""replicate"": 0, ""seed"": 20661000, ""variant"": ""combined"", ""mode"": ""whole_EEG"", ""solver"": ""O2_mean_only"", ""timeout_seconds"": 1800, ""row_ids"": [""fit""], ""queue_position"": 44}"
v3__S1__linearized_gaussian__0__combined__whole_fNIRS__O0,S1,v3_temporal,0,45,1,900,"{""id"": ""v3__S1__linearized_gaussian__0__combined__whole_fNIRS__O0"", ""family"": ""S1"", ""layer"": 0, ""kind"": ""v3_temporal"", ""stage"": 1, ""dependencies"": [], ""prerequisites"": [], ""planned_solves"": 1, ""law"": ""linearized_gaussian"", ""replicate"": 0, ""seed"": 20661000, ""variant"": ""combined"", ""mode"": ""whole_fNIRS"", ""solver"": ""O0"", ""timeout_seconds"": 900, ""row_ids"": [""fit""], ""queue_position"": 45}"
v3__S1__linearized_gaussian__0__combined__whole_fNIRS__O1,S1,v3_temporal,0,46,1,900,"{""id"": ""v3__S1__linearized_gaussian__0__combined__whole_fNIRS__O1"", ""family"": ""S1"", ""layer"": 0, ""kind"": ""v3_temporal"", ""stage"": 1, ""dependencies"": [], ""prerequisites"": [], ""planned_solves"": 1, ""law"": ""linearized_gaussian"", ""replicate"": 0, ""seed"": 20661000, ""variant"": ""combined"", ""mode"": ""whole_fNIRS"", ""solver"": ""O1"", ""timeout_seconds"": 900, ""row_ids"": [""fit""], ""queue_position"": 46}"
v3__S1__linearized_gaussian__0__combined__whole_fNIRS__O2,S1,v3_temporal,0,47,1,1800,"{""id"": ""v3__S1__linearized_gaussian__0__combined__whole_fNIRS__O2"", ""family"": ""S1"", ""layer"": 0, ""kind"": ""v3_temporal"", ""stage"": 1, ""dependencies"": [], ""prerequisites"": [], ""planned_solves"": 1, ""law"": ""linearized_gaussian"", ""replicate"": 0, ""seed"": 20661000, ""variant"": ""combined"", ""mode"": ""whole_fNIRS"", ""solver"": ""O2"", ""timeout_seconds"": 1800, ""row_ids"": [""fit""], ""queue_position"": 47}"
